m/z	Intensity
147.67340	6261.00000
147.67384	6220.00000
147.87843	11525.00000
148.00284	7221.00000
148.09377	21736.00000
148.18073	9359.00000
148.69777	15815.00000
148.72211	3532.00000
149.07353	9594.00000
149.36641	7896.00000
149.70793	17705.00000
149.70839	26144.00000
149.73679	9311.00000
149.76387	13056.00000
149.79671	7890.00000
150.16141	9393.00000
150.18497	15758.00000
150.47714	5851.00000
150.54523	7159.00000
150.74690	6964.00000
150.82530	3140.00000
151.24834	10845.00000
151.30321	5771.00000
151.37282	23890.00000
151.43306	5822.00000
151.47191	5818.00000
151.47726	7332.00000
151.55986	7238.00000
151.66838	4243.00000
151.70189	4381.00000
151.70233	4125.00000
151.76131	18678.00000
151.84265	5239.00000
152.45828	4485.00000
152.53220	16364.00000
152.60432	4701.00000
152.63704	6522.00000
152.66751	6077.00000
152.70247	7176.00000
152.70291	5672.00000
153.02356	6475.00000
153.02402	10506.00000
153.23138	8654.00000
153.49864	11751.00000
153.92856	17035.00000
154.09781	12449.00000
154.44336	9257.00000
155.06606	10698.00000
155.13652	5761.00000
155.25761	17258.00000
155.49725	10508.00000
155.49770	11832.00000
155.70718	12296.00000
155.83757	10844.00000
155.86655	8975.00000
155.86700	21461.00000
155.86745	8440.00000
156.19820	10204.00000
156.20908	13266.00000
156.51524	10105.00000
156.58331	6319.00000
156.58377	5508.00000
156.83986	4862.00000
156.87711	10563.00000
157.95657	10538.00000
158.11435	19467.00000
158.21835	11846.00000
158.21881	21145.00000
158.22839	7220.00000
158.33836	6053.00000
158.67493	11324.00000
158.67538	11165.00000
158.78963	10104.00000
159.29051	21806.00000
159.85547	9773.00000
160.11101	11190.00000
160.12248	8212.00000
160.15508	8287.00000
160.25562	7531.00000
160.25607	11606.00000
160.41866	26164.00000
160.54916	7819.00000
160.56662	14606.00000
160.76801	5909.00000
160.76846	9957.00000
160.76892	13768.00000
160.76938	17884.00000
160.80893	5660.00000
160.97641	16190.00000
160.97687	13171.00000
161.09009	12185.00000
161.09056	16231.00000
161.18587	13875.00000
161.41205	4577.00000
161.42726	6728.00000
161.64485	14966.00000
161.64531	11130.00000
162.07539	7676.00000
162.21350	15554.00000
162.62306	4559.00000
162.67024	7601.00000
162.85350	5321.00000
162.85396	4070.00000
162.87016	9701.00000
162.88960	5647.00000
162.94377	14860.00000
163.14755	11518.00000
163.51376	17611.00000
163.51794	13741.00000
163.51840	19578.00000
163.79356	10692.00000
163.79404	12601.00000
163.81027	5576.00000
163.81075	7474.00000
163.86971	7001.00000
164.06618	8511.00000
164.24927	8943.00000
164.26369	10762.00000
164.34039	11636.00000
164.41434	8886.00000
164.52458	7041.00000
164.52505	13087.00000
164.63254	18214.00000
164.83598	6573.00000
165.04701	9385.00000
165.14116	3355.00000
165.46480	15732.00000
165.49466	6093.00000
165.65614	4562.00000
165.65662	13528.00000
166.11211	12321.00000
166.37680	14668.00000
166.42781	3704.00000
166.57196	4805.00000
166.63797	9928.00000
166.77847	19527.00000
166.85249	6385.00000
166.85297	6720.00000
166.95277	8038.00000
166.95325	8642.00000
167.11638	6765.00000
