m/z	Intensity
216.99655	396604.00000
216.99709	184482.00000
216.99762	80269.00000
216.99815	43987.00000
216.99869	29137.00000
217.11945	11946.00000
217.99686	11360.00000
217.99739	10273.00000
217.99792	11453.00000
217.99846	13877.00000
217.99901	18866.00000
217.99954	29830.00000
218.00008	30742.00000
218.00061	17508.00000
218.00114	11235.00000
218.80736	10215.00000
218.80896	9627.00000
219.03383	7997.00000
219.03436	7983.00000
219.18739	24078.00000
219.18793	161936.00000
219.18846	271409.00000
219.18900	104616.00000
219.18953	82721.00000
220.54973	11401.00000
220.93073	8760.00000
220.93127	12503.00000
220.93181	11248.00000
221.02994	12668.00000
222.10544	18986.00000
222.79250	4776.00000
223.08928	3412.00000
223.08983	8703.00000
223.09036	7269.00000
224.01285	7246.00000
224.01340	26235.00000
224.01395	16522.00000
224.01448	9588.00000
224.09755	8173.00000
224.09810	10622.00000
225.20934	49504.00000
225.20988	76300.00000
225.21042	129071.00000
225.21097	81128.00000
225.21152	40821.00000
226.06038	32984.00000
226.06093	161372.00000
226.06146	301187.00000
226.06201	335100.00000
226.06256	214348.00000
226.06311	71854.00000
226.58478	8216.00000
227.09174	82499.00000
227.09229	311895.00000
227.09282	429748.00000
227.09337	707222.00000
227.09392	698047.00000
227.09447	463679.00000
227.09502	224730.00000
227.09557	55287.00000
227.11852	3258.00000
228.00931	23055.00000
228.00986	90231.00000
228.01041	306557.00000
228.01096	443051.00000
228.01151	565781.00000
228.01204	266521.00000
228.01259	170179.00000
228.01314	83444.00000
228.01369	12786.00000
228.01752	9722.00000
228.01807	460718.00000
228.01862	950688.00000
228.01917	1832483.00000
228.01971	2836310.00000
228.02026	4489964.00000
228.02081	3758275.00000
228.02136	1871338.00000
228.02191	1014919.00000
228.02245	708619.00000
228.02299	53612.00000
228.54637	13138.00000
228.99460	24591.00000
228.99515	98368.00000
228.99570	154206.00000
228.99625	308004.00000
228.99680	435866.00000
228.99733	571853.00000
228.99788	349472.00000
228.99843	155628.00000
228.99898	72479.00000
228.99953	35318.00000
229.01711	5818.00000
229.01764	70970.00000
229.01819	226191.00000
229.01874	331371.00000
229.01929	468753.00000
229.01984	352579.00000
229.02039	152613.00000
229.02094	15064.00000
229.02148	22664.00000
229.02258	99156.00000
229.02313	185211.00000
229.02368	254850.00000
229.02423	173958.00000
229.02478	82804.00000
229.03247	9642.00000
229.07639	24229.00000
229.99631	8350.00000
229.99686	11576.00000
229.99741	20040.00000
229.99796	20066.00000
229.99850	16255.00000
229.99905	13226.00000
229.99960	24559.00000
230.00015	34222.00000
230.00070	27705.00000
230.00125	13638.00000
230.00180	12337.00000
230.00345	6695.00000
230.00401	7086.00000
230.01721	23558.00000
230.01776	32023.00000
230.01831	98327.00000
230.01886	47960.00000
230.02876	8368.00000
230.02931	130028.00000
230.02986	220996.00000
230.03041	427510.00000
230.03096	570844.00000
230.03151	549441.00000
230.03206	231209.00000
230.03261	134356.00000
230.03316	60018.00000
230.05571	171053.00000
230.05627	251983.00000
230.05682	471773.00000
230.05737	246065.00000
230.05792	160646.00000
230.05847	15486.00000
230.65192	5129.00000
230.65303	7402.00000
230.99579	13520.00000
231.01233	11461.00000
231.01288	12070.00000
231.01343	10668.00000
231.09007	89784.00000
231.09062	119321.00000
231.09117	150301.00000
231.09172	88166.00000
231.09227	61975.00000
231.09283	4283.00000
231.21085	18567.00000
231.25276	21804.00000
231.93889	18572.00000
231.93944	15094.00000
232.15327	11645.00000
232.15437	3506.00000
232.21738	22364.00000
232.99019	6310.00000
232.99075	13728.00000
232.99130	16638.00000
232.99185	19351.00000
232.99242	14637.00000
232.99297	10460.00000
233.15576	7193.00000
234.02446	17480.00000
234.02501	541865.00000
234.02557	1460221.00000
234.02612	4270537.00000
234.02667	10766453.00000
234.02724	30615059.00000
234.02779	57899252.00000
234.02834	109366569.00000
234.02890	116828093.00000
234.02945	60970400.00000
234.03000	20665556.00000
234.03056	17621978.00000
234.03111	7347252.00000
234.03168	2575797.00000
234.03223	1234129.00000
234.03278	663920.00000
234.03334	264299.00000
234.03389	196051.00000
234.03444	81927.00000
234.03500	67362.00000
234.03555	47709.00000
234.04054	19319.00000
234.10548	7367.00000
235.00540	7831.00000
235.00597	38983.00000
235.00652	60865.00000
235.00706	100115.00000
235.00763	122736.00000
235.00818	96740.00000
235.00874	16470.00000
235.00929	13418.00000
235.02431	4807.00000
235.02487	224533.00000
235.02542	210973.00000
235.02597	332958.00000
235.02654	84765.00000
235.02708	48517.00000
235.02876	173084.00000
235.02931	709053.00000
235.02988	1358651.00000
235.03043	3300392.00000
235.03098	5693471.00000
235.03154	10828480.00000
235.03209	13854470.00000
235.03265	10197572.00000
235.03320	4011477.00000
235.03377	2668928.00000
235.03432	1488623.00000
235.03488	649085.00000
235.03543	190856.00000
235.03598	58786.00000
235.03654	15330.00000
235.03709	25618.00000
235.14665	22530.00000
235.21898	3402.00000
235.90372	2556.00000
236.00957	7391.00000
236.01013	8365.00000
236.01070	12835.00000
236.01125	13430.00000
236.03075	7268.00000
236.03131	146398.00000
236.03186	395641.00000
236.03242	608674.00000
236.03297	779654.00000
236.03354	801647.00000
236.03409	589204.00000
236.03465	699542.00000
236.03520	688744.00000
236.03577	574755.00000
236.03632	222905.00000
236.03688	98838.00000
236.04245	29706.00000
236.04301	120020.00000
236.04356	264197.00000
236.04413	351438.00000
236.04468	407401.00000
236.04524	212403.00000
236.04579	82345.00000
237.04771	19455.00000
238.09933	12995.00000
238.09990	42605.00000
238.10045	88929.00000
238.10101	195609.00000
238.10158	187730.00000
238.10213	116509.00000
238.10269	15364.00000
240.07745	4237.00000
240.13254	22624.00000
241.12563	3292.00000
242.12979	4649.00000
242.75725	4634.00000
242.99693	30674.00000
242.99750	189963.00000
242.99806	315477.00000
242.99863	562112.00000
242.99919	647527.00000
242.99976	530100.00000
243.00032	179295.00000
243.00089	99893.00000
243.00145	21813.00000
243.73650	5729.00000
244.99071	7395.00000
244.99127	21616.00000
244.99185	36219.00000
244.99242	52078.00000
244.99298	45324.00000
244.99355	19894.00000
244.99413	11236.00000
245.10370	42443.00000
245.10428	165353.00000
245.10484	207941.00000
245.10541	170272.00000
245.10597	53642.00000
245.10654	29163.00000
246.02052	34750.00000
246.02109	126385.00000
246.02167	357640.00000
246.02223	518869.00000
246.02280	640100.00000
246.02336	400673.00000
246.02394	186251.00000
246.02451	76978.00000
246.02507	11328.00000
246.16960	3211.00000
246.17017	20108.00000
246.17075	124759.00000
246.17131	174012.00000
246.17188	83275.00000
246.17245	40360.00000
246.17302	11852.00000
247.00746	25199.00000
247.00803	30989.00000
247.00859	33623.00000
247.00917	26131.00000
247.00974	11115.00000
247.99922	13841.00000
248.08548	9753.00000
248.08606	15849.00000
248.08662	13936.00000
248.09691	12054.00000
248.09805	13812.00000
249.67282	8184.00000
249.99962	50526.00000
250.00018	441624.00000
250.00076	1174347.00000
250.00133	2386031.00000
250.00191	5587208.00000
250.00249	9388296.00000
250.00305	16657746.00000
250.00363	15646191.00000
250.00420	7819965.00000
250.00478	3225636.00000
250.00536	2448162.00000
250.00592	867663.00000
250.00650	324686.00000
250.00706	16543.00000
250.09885	39606.00000
250.09941	501427.00000
250.09999	1139175.00000
250.10056	2215157.00000
250.10114	3375568.00000
250.10172	5228100.00000
250.10228	4555014.00000
250.10286	2418588.00000
250.10342	1215181.00000
250.10400	866208.00000
250.10458	38148.00000
250.37253	15719.00000
251.00368	21466.00000
251.00426	178497.00000
251.00484	453434.00000
251.00540	948766.00000
251.00598	1435637.00000
251.00656	2056738.00000
251.00713	1674912.00000
251.00771	895897.00000
251.00829	473230.00000
251.00885	246600.00000
251.10310	18615.00000
251.10368	123696.00000
251.10426	394841.00000
251.10483	542729.00000
251.10541	526987.00000
251.10599	261893.00000
251.10655	81188.00000
251.10713	21350.00000
251.43083	5885.00000
251.99940	183990.00000
251.99998	405084.00000
252.00055	859709.00000
252.00113	1143613.00000
252.00171	1298734.00000
252.00229	760746.00000
252.00285	452962.00000
252.00343	195171.00000
252.03798	10629.00000
252.03856	41874.00000
252.03914	87820.00000
252.03970	168071.00000
252.04028	104493.00000
252.04086	26440.00000
252.11572	3170.00000
252.11630	29100.00000
252.11688	58324.00000
252.11746	42985.00000
252.11803	58770.00000
252.41472	15372.00000
252.41530	5933.00000
252.41588	9341.00000
255.46660	5628.00000
255.46718	10384.00000
255.88824	4306.00000
256.00836	20428.00000
256.00894	179715.00000
256.00952	395495.00000
256.01010	989024.00000
256.01068	1501749.00000
256.01126	2551159.00000
256.01184	2580494.00000
256.01242	1511450.00000
256.01300	623142.00000
256.01358	396722.00000
256.01416	117475.00000
256.01474	22847.00000
256.94708	18534.00000
256.94766	11937.00000
257.01337	36185.00000
257.01395	73566.00000
257.01453	134195.00000
257.01511	252844.00000
257.01569	109248.00000
257.01630	43435.00000
257.01688	29583.00000
257.07095	38432.00000
257.49915	8445.00000
257.79959	12076.00000
257.80017	17373.00000
257.99063	14617.00000
257.99121	7168.00000
257.99179	5747.00000
258.20392	5484.00000
260.76190	7184.00000
261.00912	18680.00000
261.00970	23440.00000
261.01031	14539.00000
261.09351	13147.00000
261.09412	15671.00000
262.10022	4707.00000
262.10080	70864.00000
262.10141	147004.00000
262.10199	277857.00000
262.10257	278603.00000
262.10315	120748.00000
262.10376	36581.00000
262.10434	6531.00000
263.26303	17696.00000
263.52087	6956.00000
263.84012	10782.00000
264.03397	22248.00000
264.03458	38900.00000
264.11652	5066.00000
264.11710	35423.00000
264.11768	24570.00000
264.11826	65161.00000
264.11887	15941.00000
264.11945	9192.00000
264.60068	9314.00000
265.56918	22391.00000
265.56979	19126.00000
265.97543	28900.00000
265.97601	181703.00000
265.97662	459101.00000
265.97720	814559.00000
265.97781	824052.00000
265.97839	769179.00000
265.97897	344779.00000
265.97958	138913.00000
265.98016	33251.00000
266.13339	7650.00000
266.13400	9466.00000
266.13516	8466.00000
266.75449	5864.00000
266.75507	10595.00000
266.75568	14444.00000
267.78214	10274.00000
267.78271	9898.00000
268.00357	15494.00000
268.00415	67639.00000
268.00476	116638.00000
268.00534	180290.00000
268.00595	119836.00000
268.00653	79677.00000
268.00714	20274.00000
268.22095	70632.00000
268.22153	88896.00000
268.22214	120327.00000
268.22272	136552.00000
268.22333	65777.00000
268.22391	22378.00000
268.27084	8276.00000
269.12286	7397.00000
269.12344	8533.00000
269.12405	9932.00000
270.29517	3770.00000
270.29694	7861.00000
270.99274	9130.00000
270.99332	18535.00000
270.99393	21074.00000
270.99451	17174.00000
270.99512	11918.00000
270.99570	7371.00000
271.08408	39899.00000
271.08469	88872.00000
271.08530	173122.00000
271.08588	77830.00000
271.98361	3798.00000
271.98422	142202.00000
271.98483	206905.00000
271.98541	392726.00000
271.98602	470868.00000
271.98660	477174.00000
271.98721	227356.00000
271.98782	124895.00000
271.98840	45781.00000
272.08234	10218.00000
272.08292	48716.00000
272.08353	192929.00000
272.08414	427456.00000
272.08472	535629.00000
272.08533	419106.00000
272.08594	211233.00000
272.08652	77314.00000
272.08713	48082.00000
272.08771	28719.00000
272.08832	25570.00000
272.11703	10009.00000
272.85529	13033.00000
272.85590	17024.00000
272.98593	31870.00000
272.98651	111271.00000
272.98712	213521.00000
272.98770	463108.00000
272.98831	742946.00000
272.98892	1051807.00000
272.98950	806242.00000
272.99011	370662.00000
272.99072	180607.00000
272.99130	129347.00000
272.99191	43170.00000
272.99252	18133.00000
273.13577	12433.00000
273.13635	59811.00000
273.13696	88872.00000
273.13757	156087.00000
273.13815	36559.00000
273.13876	9994.00000
273.98645	11913.00000
273.98706	11460.00000
273.98764	22700.00000
273.98825	42175.00000
273.98886	73760.00000
273.98944	81965.00000
273.99005	47513.00000
273.99066	69577.00000
273.99127	73155.00000
273.99185	86494.00000
273.99246	92129.00000
273.99307	75722.00000
273.99365	47013.00000
273.99426	45285.00000
274.09933	10787.00000
274.09995	41088.00000
274.10052	21622.00000
274.10114	27009.00000
274.10175	97082.00000
274.10236	223761.00000
274.10294	192351.00000
274.10355	134438.00000
274.10416	16127.00000
275.38654	6249.00000
275.98639	12066.00000
275.98700	12589.00000
276.98276	14237.00000
276.98334	15072.00000
276.98395	12480.00000
278.03592	16249.00000
278.03653	45221.00000
278.03714	79135.00000
278.03775	78654.00000
278.03836	42643.00000
278.03894	27162.00000
278.09583	74813.00000
278.09641	233191.00000
278.09702	604112.00000
278.09763	803597.00000
278.09824	806480.00000
278.09885	398595.00000
278.09943	94612.00000
278.13211	3035.00000
278.13272	3153.00000
278.13330	4422.00000
278.13391	5860.00000
278.13452	6635.00000
278.99719	14501.00000
279.10141	7912.00000
279.10263	6719.00000
279.10385	6197.00000
279.10626	3047.00000
279.10870	12560.00000
279.10928	46247.00000
279.10989	46468.00000
279.11050	68882.00000
279.27475	6601.00000
279.27536	17510.00000
279.27597	19897.00000
280.14890	18968.00000
280.14951	31743.00000
280.15012	20110.00000
280.15073	5206.00000
282.09137	35796.00000
282.09195	62376.00000
282.09256	157567.00000
282.09317	124386.00000
282.09378	62252.00000
282.09439	13700.00000
282.16690	5734.00000
283.09805	11322.00000
283.09866	14499.00000
284.33951	4782.00000
285.41150	3766.00000
287.08191	48218.00000
287.08252	81291.00000
287.08316	86855.00000
287.08377	81705.00000
287.08438	27245.00000
287.09543	4419.00000
287.09604	43688.00000
287.09668	330284.00000
287.09729	679961.00000
287.09790	1140930.00000
287.09851	1466478.00000
287.09912	1441575.00000
287.09973	794122.00000
287.10034	468378.00000
287.10098	108259.00000
288.10056	13032.00000
288.10117	37653.00000
288.10178	40678.00000
288.10239	38042.00000
288.10303	32618.00000
288.10364	24425.00000
288.10425	35915.00000
288.10486	242467.00000
288.10547	575405.00000
288.10608	756492.00000
288.10672	836389.00000
288.10733	461014.00000
288.10794	282086.00000
288.10855	45665.00000
288.10916	21345.00000
288.30313	10755.00000
288.30374	312225.00000
288.30438	887596.00000
288.30499	1887110.00000
288.30560	2858073.00000
288.30621	4811981.00000
288.30682	6303923.00000
288.30743	5931307.00000
288.30807	3025902.00000
288.30869	1706556.00000
288.30930	1036260.00000
288.30991	183999.00000
289.11111	135275.00000
289.11172	439887.00000
289.11237	1141595.00000
289.11298	1666059.00000
289.11359	2843789.00000
289.11420	3947604.00000
289.11481	4067489.00000
289.11545	2183140.00000
289.11606	1204737.00000
289.11667	592902.00000
289.11728	115130.00000
289.30789	5262.00000
289.30850	466452.00000
289.30911	660059.00000
289.30975	1185731.00000
289.31036	1389923.00000
289.31097	1115999.00000
289.31158	390551.00000
289.31219	149251.00000
289.31284	12958.00000
289.82327	6854.00000
290.09689	51017.00000
290.09750	250581.00000
290.09811	290473.00000
290.09875	335071.00000
290.09937	133842.00000
290.09998	19949.00000
290.10059	4184.00000
290.10123	4657.00000
290.11603	182578.00000
290.11667	339679.00000
290.11728	650824.00000
290.11789	700906.00000
290.11850	602560.00000
290.11914	396545.00000
290.11975	377449.00000
290.12036	476059.00000
290.12097	800139.00000
290.12161	1051201.00000
290.12222	1383879.00000
290.12283	982708.00000
290.12344	652010.00000
290.12408	204034.00000
290.12469	30265.00000
290.48932	13610.00000
290.99832	33463.00000
290.99893	88843.00000
